,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,63.16778944070187,949.8511904761905,53.55739465650183,23.832470909179563,49.44769587013809,0.7820895522388059,0.408955223880597,39.0,34.96464178416069,67.2684304014155,7389.077984873501,0.5197778746361971,0.2506658311138963,198.376340948161,347.33527532982094,1223.5255344578477,0.28388069194136395,1769.2371507358296,11.212535349806318,19.63192301186777,69.15554163832591,22.111142703774618,77.8888572962254,330.75002573777704,1217.322510194406,0,0,0
boredom,63.682313272973204,942.1768292682926,59.79094025258278,23.340206041118794,48.6656193595156,0.7951070336391437,0.3363914373088685,37.0,34.411354629291615,77.21782226348567,8347.745329141857,0.4456400558911367,0.25887454292463513,823.8731248788777,468.74670302075435,902.9423694308202,0.5191324705653518,2195.5621973304524,37.524472132040316,21.349734641573612,41.125793226386065,34.17295598797611,65.82704401202388,467.67135978991547,902.8978022019407,-121.41142769093341,320.58316502702746,-0.23525177862398788
flow,65.94767907891861,909.8121546961326,54.670970271112886,23.930083369023578,42.81351690666042,0.6648199445983379,0.2520775623268698,37.0,30.273362124046095,71.01277591423425,6753.781688841639,0.42630867100039543,0.12145134355548808,900.2978871670614,813.8505017072405,388.3589505884005,2.095614123156374,2102.5073394627025,42.820201873689214,38.70856888020285,18.471229246107935,67.69623214600236,32.30376785399765,338.2414987550914,259.5234119801322,-466.51522637741954,835.1665838694472,-1.81173343121501
ultra,68.79934054088329,872.1013824884793,44.21281637409314,21.780824616796636,44.62145306995363,0.7222222222222222,0.3333333333333333,28.0,31.54560734770418,53.10387884019206,5262.777510986592,0.5940358413861975,0.36666666666666664,602.2035811721553,270.07438130269543,527.4038521485141,0.5120826861663572,1399.681814623365,43.024319876171276,19.295412605997793,37.68026751783091,33.866050504464184,66.13394949553582,189.93522291041614,444.9129180652887,77.26089402712552,696.1216823093336,-0.22820199422499327
overload,67.18359632885011,893.0751445086705,42.39287915456792,25.66889097474092,51.01020074171581,0.782608695652174,0.4,30.0,36.069322506043115,47.711635738414145,5406.449662534381,0.7559858711153464,0.32362459546925565,215.05981342223285,555.5807890471942,855.6945858597115,0.6492746339969013,1626.3351883291386,13.223584840661328,34.161518058155394,52.614897101183274,39.367284296577694,60.63271570342231,198.08902622452848,830.792491792244,-208.24551371737329,367.83094859813616,-0.3653939420555374
