,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,76.07760433176563,788.6683673469388,46.93756403716119,18.19804649047507,34.408260472549365,0.6342710997442456,0.1278772378516624,35.0,24.330292532678303,61.775858947594166,4721.89141742396,0.39384790348796656,0.1940805434255216,395.7715652778314,237.52794347599354,966.5824032717222,0.24573998313232331,1599.881912025547,24.737548584242738,14.846592219751319,60.41585919600594,19.726426578556776,80.27357342144323,211.41561152754167,966.1205290162509,0,0,0
boredom,79.25924534680615,757.0094786729858,46.98123962795579,17.139761992078753,28.95323446911032,0.4584323040380047,0.0688836104513064,28.0,20.472746230613453,63.23316361753739,4066.9692280723925,0.3237659648731452,0.21912662388480197,508.06718501780483,182.95069115525087,483.37732485799637,0.3784842228770185,1174.395201031052,43.262028367601545,15.578290084515894,41.15968154788258,27.45655094166319,72.54344905833682,182.91416475896537,482.7277864322106,54.57725232074267,483.20507841372586,-0.13274423974469518
flow,81.87305821313207,732.8418079096045,37.40725409433785,13.353252541037868,25.128692808482565,0.4766619519094767,0.02545968882602546,20.0,17.76851494856253,49.82391670320636,2781.242578892727,0.3566262173728116,0.4047412546978896,317.3089660430877,122.30036179693978,141.6363600456184,0.8634813952967242,581.2456878856459,54.59119485210099,21.0410785569563,24.36772659094271,46.337001135406084,53.662998864593916,66.80228326550454,81.01504303786578,115.22758167905376,824.9460432261038,-0.6177414121644009
ultra,84.1645885286783,712.8888888888889,37.82981867789889,13.566926236279423,23.85869673875634,0.41007194244604317,0.02877697841726619,26.0,16.870643186365488,50.72760483038347,2688.59799188961,0.3325732260132408,0.13333333333333333,566.4067757722611,155.5526695252513,68.27328415495246,2.2783827005042014,790.2327294524648,71.67594490356178,19.684412417722864,8.639642678715365,69.49715480605103,30.50284519394896,108.91123114664092,68.27328415495246,81.97527395074223,898.3091191167698,-2.032642717371878
overload,82.03495296662696,731.3955555555556,33.23437280591389,14.009844137579194,24.283954943666267,0.4053452115812918,0.0200445434298441,20.0,17.171348925824695,43.77921832607654,2361.686727954353,0.39222602829335573,0.12153621779290229,214.58276510032695,128.06327836607574,106.54684626114678,1.2019433972939197,449.1928897275495,47.77073947686005,28.50964057862768,23.719619944512257,54.58557194390415,45.41442805609585,76.69185931268325,80.93761087877638,109.4646651099178,860.0355570105754,-0.9562034141615965
