,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,73.2736001243902,818.8488063660477,36.9210348836219,14.160529564795766,24.41877547594639,0.4122340425531915,0.02925531914893617,22.0,17.266601435270655,49.32767708011818,2675.761504241674,0.3500388110152883,0.19436345966958213,287.7160359542036,405.99069721938423,371.98468050448935,1.0914177881432525,1065.6914136780772,26.998062690698994,38.096459444875045,34.90547786442596,52.18554582115352,47.81445417884648,120.89875440800809,241.914557799774,0,0,0
boredom,70.86317376554844,846.7021276595744,51.55575989597853,18.205156583293157,33.56363111067295,0.6026666666666667,0.112,28.0,23.73291265544773,69.01971119421852,5146.050588987424,0.34385702641763205,0.12564392511622063,1001.3454122071495,1397.9130887245083,263.5140079275955,5.304890998844381,2662.7725088592533,37.60536842240915,52.49840472941423,9.896226848176617,84.13929756782014,15.860702432179863,1246.5777543511904,248.78486089966614,-991.9223915051241,108.47067257689383,-4.213473210701128
flow,70.98284131751142,845.2747014115092,40.73125689590468,15.73729210979323,28.304401255542974,0.5152173913043478,0.06086956521739131,24.0,20.014061928010094,53.98844613146391,3394.57915437871,0.37071009377219516,0.14129918174928388,565.8495968708612,445.64336122182664,121.26201314658518,3.6750450504488947,1132.754971239273,49.95339779897874,39.34154980880618,10.705052392215094,78.60983179394216,21.390168206057837,176.68980575473904,121.26201314658518,-39.65266400244241,250.7226673579042,-2.583627262305642
ultra,70.31125722466727,853.3484162895927,40.00329013310982,16.93461172806053,31.51017151795447,0.5681818181818182,0.06363636363636363,20.0,22.280943753473604,52.12943958143402,3648.9382253851554,0.42741575455971326,0.13333333333333333,211.2287798432168,314.86857899925405,162.45653695964876,1.938171186533797,688.5538958021195,30.67715993344999,45.72896630443911,23.593873762110906,65.9652233817011,34.0347766182989,229.17256732322844,127.82842310748501,91.12211822013018,209.5281435448406,-0.8467533983905444
overload,71.93431756553179,834.0942408376964,44.288340308154446,17.28677866973904,29.11521145480044,0.47506561679790027,0.08398950131233596,26.0,20.587547059239718,59.23418032445093,3831.129750839718,0.34756194728234474,0.12554139727575167,606.1159456713037,792.8215403321055,229.60228536475697,3.4530211189866513,1628.5397713681662,37.21836926107704,48.682970736787205,14.098660002135771,77.54333578755708,22.456664212442906,302.2678371330465,86.47987621691249,-386.8308431127213,142.38239513973238,-2.3616033308433986
