,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,74.83085512668903,801.8082901554404,45.84197381655457,14.946047684017097,23.308434458005046,0.3142857142857143,0.033766233766233764,24.0,16.48154838006896,62.703624269594,3246.687777734521,0.2628484170102609,0.12924488674916798,340.24357467659894,915.2878086069334,135.15949184360971,6.771909217193523,1390.690875127142,24.465794718433933,65.81533142821941,9.718873853346665,87.13314872762881,12.86685127237121,448.74986745498325,135.15949184360971,0,0,0
boredom,71.78656215849568,835.8110236220473,47.25100211968422,15.327906221701458,24.798981303356204,0.4,0.042105263157894736,28.0,17.533910161175292,64.33340916371553,3543.7674593223537,0.27254750508487796,0.12561236025624922,701.7725749509332,1266.5852763383443,184.56238758136863,6.862640286228096,2152.9202388706462,32.596310921349364,58.831035793632324,8.572653285018315,87.28162597300091,12.718374026999076,633.640213503821,166.82313195134375,-351.29746773141096,-49.40289573775891,-0.09073106903457351
flow,72.68244265638452,825.508854781582,41.342004955940666,14.527608401416117,24.85161638363655,0.4243498817966903,0.03546099290780142,26.0,17.572711404542517,55.781898183744524,3079.51226439298,0.31502533934321014,0.12871853546910755,531.9651183316878,448.8886824571558,159.18106045837558,2.819988013426611,1140.0348612472192,46.662179939805355,39.374996126527506,13.96282393366713,73.82190738596118,26.178092614038825,144.22617682655908,127.44786608256801,466.39912614977754,-24.02156861476587,3.951921203766912
ultra,74.29330756221309,807.609756097561,29.060809288901048,8.483184238666242,14.582628748771251,0.16326530612244897,0.0,18.0,10.310465845724513,39.80607719629756,1289.369941679176,0.25901738055925566,0.13333333333333333,442.64201820364457,229.8667703867008,57.03088391406459,4.030566503809921,729.53967250441,60.67415315250987,31.508467469301515,7.817379378188628,80.12152310793137,19.878476892068626,205.75009778448367,31.76162605366701,685.4210382202325,78.12860792954513,2.7413427133836015
overload,71.6471941324719,837.4368421052632,27.561771972030883,13.748951243854986,24.58843282976259,0.43799472295514513,0.013192612137203167,20.0,17.38655750002292,34.91591292246312,1907.1588852307289,0.49795511687272237,0.12569920181006852,186.57067613343946,299.7680292317541,84.70114659085958,3.5391259894007527,571.0398519560531,32.67209381172889,52.49511539429722,14.832790793973892,77.9693270833397,22.03067291666029,103.54953286396395,84.02961374621206,615.5197793751793,50.458345252750135,3.23278322779277
